run_id,video_id,frame_idx,track_id,cls_id,cx_norm,cy_norm,h_norm,area_norm,aspect_ratio,conf,queue_len,area_growth_k,h_growth_k,dx_k,dy_k,ema_dx,ema_dy,ema_area_growth,ema_h_growth,mean_conf_ema,dist_to_center,slope_h,slope_cy,slope_dist_to_center,frac_positive_h_growth,frac_toward_center,std_cx,std_delta_h,label
0a96b25258b0,cyclar_data_5,486.0,102.0,7.0,0.49921875,0.6620370370370371,0.4759259259259259,0.16285590277777778,1.2782101167315174,0.4060148894786834,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4060148894786834,0.0007812500000000111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0a96b25258b0,cyclar_data_5,510.0,81.0,7.0,0.4817708333333333,0.6773148148148148,0.18796296296296297,0.030935570987654322,1.5566502463054188,0.8520956635475159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8520956635475159,0.018229166666666685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0a96b25258b0,cyclar_data_5,516.0,81.0,7.0,0.5317708333333333,0.649537037037037,0.22685185185185186,0.046315586419753085,1.6,0.8263821005821228,4.0,0.4971628109995635,0.20689655172413793,96.0,-30.0,14.903999999999996,-6.434999999999999,0.08263282581601916,0.037638379115526976,0.8238938055634497,0.031770833333333304,13.7,-10.15,0.004401041567325592,1.0,0.0,40.0443115234375,5.715476036071777,0.0
0a96b25258b0,cyclar_data_5,522.0,81.0,7.0,0.5533854166666666,0.5944444444444444,0.35,0.08440104166666666,1.2248677248677249,0.5167441368103027,10.0,1.7282845918812746,0.8620689655172413,137.5,-89.5,8.421534695999998,-14.967507314999999,0.15628944428143207,0.1255401796829947,0.6619736627694196,0.05338541666666663,13.50909090909091,-7.451515151515151,0.003475378498886571,1.0,0.0,36.271060943603516,28.756105422973633,0.0
0a96b25258b0,cyclar_data_5,570.0,134.0,7.0,0.5705729166666667,0.4449074074074074,0.5138888888888888,0.1003689236111111,0.6756756756756757,0.8514487743377686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8514487743377686,0.07057291666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0a96b25258b0,cyclar_data_5,744.0,191.0,2.0,0.59921875,0.5861111111111111,0.20185185185185187,0.030382908950617283,1.3256880733944953,0.7697514891624451,3.0,-0.1690144560514931,-0.102880658436214,11.5,20.5,3.0,5.79,-0.04960973792861736,-0.031332829428067525,0.6993496024608612,0.09921875000000002,-12.5,10.25,0.0029947906732559204,0.5,0.0,4.708148956298828,14.5,0.0
0a96b25258b0,cyclar_data_5,750.0,191.0,2.0,0.6268229166666667,0.5541666666666667,0.20462962962962963,0.019716917438271604,0.8371040723981901,0.4607710540294647,9.0,-0.46073388203017834,-0.09053497942386832,64.5,-14.0,9.460961999999999,-2.838860789999999,-0.0945321361648245,-0.01569231102581573,0.5843627990884577,0.12682291666666667,-2.2666666666666666,-3.2,0.004084201653798422,0.375,0.0,20.491342544555664,15.32767105102539,0.0
0a96b25258b0,cyclar_data_5,792.0,199.0,5.0,0.6153645833333333,0.5694444444444444,0.22407407407407406,0.025791859567901233,0.9132231404958677,0.4619330465793609,4.0,0.2127437641723356,0.1523809523809524,-8.5,26.0,-2.019,4.9334999999999996,0.04358750707654716,0.03030935143288084,0.5382271404862402,0.11536458333333333,10.9,8.35,-0.0014583326876163483,1.0,1.0,3.1721444129943848,2.054804563522339,0.0
0a96b25258b0,cyclar_data_5,834.0,151.0,2.0,0.6002604166666666,0.5810185185185185,0.19166666666666668,0.02865017361111111,1.3864734299516908,0.6770519018173218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6770519018173218,0.10026041666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0a96b25258b0,cyclar_data_5,840.0,151.0,2.0,0.615625,0.5717592592592593,0.23055555555555557,0.02737847222222222,0.9156626506024096,0.6552920341491699,6.0,-0.04438721405847599,0.2028985507246377,29.5,-10.0,4.791629999999999,-0.5776499999999997,-0.023527702471095258,0.014588638456007127,0.6471228589665889,0.11562499999999998,8.028571428571428,-1.4428571428571428,0.003147321939468384,0.6,0.0,10.349785804748535,10.248902320861816,0.0
0a96b25258b0,cyclar_data_5,936.0,240.0,2.0,0.6393229166666666,0.7416666666666667,0.3111111111111111,0.021550925925925925,0.3958333333333333,0.7934454083442688,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7934454083442688,0.13932291666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0a96b25258b0,cyclar_data_5,942.0,240.0,2.0,0.609375,0.6425925925925926,0.39444444444444443,0.051359953703703706,0.5868544600938967,0.7783139944076538,7.0,1.3831901181525241,0.26785714285714285,-57.5,-107.0,-7.653974999999999,-14.049788999999997,0.10556303395563761,0.02219652463253529,0.7563329241720437,0.109375,19.5,-21.178571428571427,-0.0051711318748337886,0.6666666666666666,1.0,19.963741302490234,27.549955368041992,0.0
0a96b25258b0,cyclar_data_5,948.0,240.0,2.0,0.5895833333333333,0.6648148148148149,0.4222222222222222,0.07037037037037037,0.7017543859649122,0.5982151031494141,13.0,2.2653061224489797,0.35714285714285715,-95.5,-83.0,-6.611893004774998,3.705998373939001,0.06930373612717382,0.022666352633073136,0.7400574902143674,0.08958333333333335,8.060438889723558,-7.96978021978022,-0.004035027472527473,0.5833333333333334,1.0,29.25550651550293,21.8136043548584,0.0
0a96b25258b0,cyclar_data_5,954.0,240.0,2.0,0.5755208333333334,0.6736111111111112,0.4083333333333333,0.080390625,0.8571428571428571,0.9020949602127076,19.0,2.7302631578947367,0.3125,-122.5,-73.5,-4.3946676001187726,4.152716002695549,0.03954590408680678,0.011544041389686462,0.8516217007435234,0.07552083333333337,3.719297817297149,-3.2070175438596493,-0.003477247765189723,0.5555555555555556,1.0,36.98232650756836,20.067249298095703,0.0
0a96b25258b0,cyclar_data_5,960.0,240.0,2.0,0.5625,0.6569444444444444,0.3712962962962963,0.08276813271604938,1.0673316708229426,0.8981825113296509,24.0,2.299269511726259,0.17941176470588235,-137.5,-87.5,-4.051853248486372,-2.8344981149988713,0.0016899253148213713,-0.01904679674740776,0.8940723841818896,0.0625,1.498695652173913,-1.0041304347826088,-0.00295821998430335,0.4782608695652174,1.0,39.802635192871094,19.418970108032227,0.0
0a96b25258b0,cyclar_data_5,966.0,240.0,2.0,0.54453125,0.674537037037037,0.2490740740740741,0.05798755787037037,1.661710037174721,0.914767861366272,24.0,0.10013906933338212,-0.36255924170616116,-119.0,32.5,-6.067455982831173,3.0408341312684977,-0.02808189387507859,-0.03159936985615021,0.9120266526954623,0.04453125000000002,-6.763913043478261,0.9158695652173913,-0.002491847743158755,0.391304347826087,1.0,33.24091339111328,17.506790161132812,0.0
0a96b25258b0,cyclar_data_5,972.0,240.0,2.0,0.5190104166666667,0.6365740740740741,0.19722222222222222,0.03831452546296296,1.7511737089201878,0.9163383841514589,24.0,-0.45113711727644523,-0.5114678899082569,-130.5,-24.5,-6.754844628924103,-3.1310149052903915,-0.056289547217176064,-0.029498266543925636,0.9200278403599698,0.019010416666666696,-12.000434782608696,-0.9502173913043478,-0.0028951541237209155,0.2608695652173913,1.0,39.08481979370117,15.040335655212402,0.0
0a96b25258b0,cyclar_data_5,1104.0,269.0,2.0,0.6244791666666667,0.674074074074074,0.40185185185185185,0.03683641975308642,0.4055299539170507,0.6817560195922852,3.0,0.6981014628073452,0.14814814814814814,-35.5,-45.0,-9.39,-13.184999999999999,0.1755240487334543,0.04949010654490107,0.6759468078613281,0.1244791666666667,28.0,-22.5,-0.009244788438081741,0.5,1.0,14.600228309631348,41.0,0.0
