run_id,video_id,frame_idx,track_id,cls_id,conf,x1,y1,x2,y2
7b6f2cec8383,cyclar_data_29a,117,42,2,0.9218428730964661,0,547,415,968
7b6f2cec8383,cyclar_data_29a,118,42,2,0.9196028709411621,0,549,418,968
7b6f2cec8383,cyclar_data_29a,119,42,2,0.9187746047973633,0,547,419,967
7b6f2cec8383,cyclar_data_29a,120,42,2,0.9181185960769653,0,541,418,966
7b6f2cec8383,cyclar_data_29a,121,42,2,0.9086876511573792,0,533,419,965
7b6f2cec8383,cyclar_data_29a,122,42,2,0.9277920722961426,2,526,429,964
7b6f2cec8383,cyclar_data_29a,123,42,2,0.9363768696784973,5,516,444,964
7b6f2cec8383,cyclar_data_29a,124,42,2,0.9136367440223694,8,506,463,964
7b6f2cec8383,cyclar_data_29a,125,42,2,0.9299845099449158,9,497,484,966
7b6f2cec8383,cyclar_data_29a,126,42,2,0.936962902545929,9,491,506,967
7b6f2cec8383,cyclar_data_29a,127,42,2,0.9334449172019958,7,486,524,969
7b6f2cec8383,cyclar_data_29a,128,42,2,0.9391642808914185,5,483,541,969
7b6f2cec8383,cyclar_data_29a,129,42,2,0.9376134276390076,4,478,556,969
7b6f2cec8383,cyclar_data_29a,130,42,2,0.9420867562294006,3,473,571,969
7b6f2cec8383,cyclar_data_29a,131,42,2,0.9494117498397827,4,467,588,968
7b6f2cec8383,cyclar_data_29a,132,42,2,0.9538602828979492,5,460,609,968
7b6f2cec8383,cyclar_data_29a,133,42,2,0.9470275640487671,5,452,629,964
7b6f2cec8383,cyclar_data_29a,134,42,2,0.9481304883956909,3,444,647,959
7b6f2cec8383,cyclar_data_29a,135,42,2,0.9313661456108093,2,437,663,951
7b6f2cec8383,cyclar_data_29a,136,42,2,0.9241157174110413,0,434,678,948
7b6f2cec8383,cyclar_data_29a,137,42,2,0.9345226287841797,0,432,692,949
7b6f2cec8383,cyclar_data_29a,138,42,2,0.926563024520874,0,432,704,944
